          0          1          2          3          4          5          6          7          8          9         10         11
0.01855469 0.95107454 0.01792000 0.33319452 0.78136742 0.59353667 0.10421331 0.11663508 0.80348486 0.61831152 0.83246613 0.63696128 
0.51855469 0.09922270 0.21792001 0.47605169 0.87227654 0.67045975 0.16303684 0.16926666 0.84696317 0.65279424 0.86472422 0.66398835 
0.26855469 0.43255606 0.41791999 0.61890876 0.96318561 0.74738282 0.22186038 0.22189824 0.89044142 0.68727702 0.89698231 0.69101536 
0.76855469 0.76588935 0.61792004 0.76176590 0.06235913 0.82430589 0.28068388 0.27452981 0.93391967 0.72175980 0.92924035 0.71804237 
0.14355469 0.21033379 0.81792003 0.90462309 0.15326822 0.90122896 0.33950743 0.32716137 0.97739792 0.75624251 0.96149838 0.74506944 
0.64355469 0.54366714 0.05792000 0.06788839 0.24417731 0.97815210 0.39833096 0.37979296 0.02276650 0.79072529 0.99375647 0.77209646 
0.39355469 0.87700045 0.25792000 0.21074553 0.33508644 0.06099227 0.45715448 0.43242455 0.06624476 0.82520807 0.02705515 0.79912347 
0.89355469 0.32144496 0.45791999 0.35360268 0.42599553 0.13791536 0.51597804 0.48505613 0.10972302 0.85969079 0.05931321 0.82615048 
0.08105469 0.65477824 0.65792006 0.49645984 0.51690459 0.21483843 0.57480156 0.53768772 0.15320128 0.89417356 0.09157128 0.85317755 
0.58105469 0.98811162 0.85792005 0.63931698 0.60781372 0.29176152 0.63362509 0.59031928 0.19667955 0.92865634 0.12382934 0.88020456 
0.33105469 0.00457247 0.09792001 0.78217411 0.69872278 0.36868459 0.69244862 0.64295083 0.24015781 0.96313912 0.15608740 0.90723157 
0.83105469 0.33790582 0.29791999 0.92503130 0.78963190 0.44560766 0.75127214 0.69558245 0.28363606 0.99762183 0.18834546 0.93425864 
0.20605469 0.67123914 0.49792001 0.08829655 0.88054103 0.52253079 0.81009567 0.74821401 0.32711434 0.03329370 0.22060353 0.96128565 
0.70605469 0.11568359 0.69792002 0.23115370 0.97145009 0.59945387 0.86891919 0.80084562 0.37059259 0.06777646 0.25286159 0.98831266 
0.45605469 0.44901696 0.89792001 0.37401083 0.07062360 0.67637694 0.92774272 0.85347718 0.41407084 0.10225921 0.28511965 0.01607013 
0.95605469 0.78235024 0.13792001 0.51686800 0.16153269 0.75330001 0.98656625 0.90610874 0.45754912 0.13674197 0.31737772 0.04309715 
