12 167
0.922188 0.515839 0
0.31414 0.553358 0.00390625
0.197049 0.211714 0.0078125
0.979077 0.0791083 0.0117188
0.622315 0.859286 0.015625
0.12664 0.774234 0.0195312
0.631299 0.225056 0.0234375
0.951664 0.980828 0.0273438
0.791379 0.71435 0.03125
0.212352 0.983141 0.0351562
0.372599 0.801981 0.0390625
0.126891 0.42037 0.0429688
0.479851 0.0356749 0.046875
0.656616 0.441809 0.0507812
0.539618 0.69266 0.0546875
0.418307 0.380322 0.0585938
0.971556 0.321488 0.0625
0.802258 0.210067 0.0664062
0.387065 0.230122 0.0703125
0.784275 0.972631 0.0742188
0.929962 0.798037 0.078125
0.357727 0.963745 0.0820312
0.48854 0.904589 0.0859375
0.785358 0.459073 0.0898438
0.222318 0.657992 0.09375
0.561732 0.343946 0.0976562
0.678817 0.588704 0.101562
0.721013 0.322782 0.105469
0.469326 0.507639 0.109375
0.0754812 0.933287 0.113281
0.644844 0.0767724 0.117188
0.0129707 0.665131 0.121094
0.068161 0.193446 0.125
0.264917 0.418822 0.128906
0.611598 0.991298 0.132812
0.0628115 0.524975 0.136719
0.216743 0.852069 0.140625
0.283488 0.107683 0.144531
0.970189 0.662205 0.148438
0.415023 0.633187 0.152344
0.854438 0.609321 0.15625
0.845658 0.331184 0.160156
0.102147 0.306226 0.164062
0.290749 0.289652 0.167969
0.183431 0.550569 0.171875
0.514116 0.19135 0.175781
0.932971 0.187173 0.179688
0.764187 0.83219 0.183594
0.127301 0.0497239 0.1875
0.864347 0.0785953 0.191406
0.659984 0.714141 0.195312
0.754871 0.0966108 0.199219
0.516393 0.791011 0.203125
0.0193854 0.418284 0.207031
0.578409 0.531156 0.210938
0.974457 0.434872 0.214844
0.298753 0.700244 0.21875
0.119631 0.657196 0.222656
0.876611 0.88225 0.226562
0.507185 0.999138 0.230469
0.0296369 0.840734 0.234375
0.413381 0.123531 0.238281
0.198931 0.350357 0.242188
0.364088 0.0493312 0.246094
0.699079 0.945245 0.25
0.714058 0.178198 0.253906
0.991191 0.873763 0.257812
0.601116 0.62469 0.261719
0.35195 0.438074 0.265625
0.878581 0.719984 0.269531
0.473566 0.273576 0.273438
0.282604 0.790507 0.277344
0.543224 0.445961 0.28125
0.587518 0.144707 0.285156
0.503029 0.599231 0.289062
0.396409 0.884956 0.292969
0.769978 0.613927 0.296875
0.310516 0.880297 0.300781
0.741099 0.530083 0.304688
0.633002 0.30959 0.308594
0.0452421 0.746614 0.3125
