4 12
52 167
          0          1          2          3          4          5          6          7          8          9         10         11
0.43627930 0.84106445 0.75762939 0.03479004 0.15728760 0.11737061 0.04138184 0.21362305 0.11956787 0.96710205 0.05291748 0.35491943 
0.54949951 0.86669922 0.46569824 0.23181152 0.59881592 0.92248535 0.97650146 0.83593750 0.88470459 0.05541992 0.26763916 0.95196533 
0.45654297 0.64434814 0.68383789 0.90502930 0.39941406 0.62451172 0.86657715 0.49694824 0.29687500 0.81408691 0.03436279 0.85363770 
0.05847168 0.99957275 0.70343018 0.32647705 0.65393066 0.89715576 0.06536865 0.30590820 0.09851074 0.26531982 0.64343262 0.31140137 
0.13934326 0.34313965 0.63745117 0.95648193 0.02124023 0.24902344 0.41381836 0.11157227 0.72991943 0.29193115 0.59869385 0.51263428 
0.38446045 0.79180908 0.77178955 0.62585449 0.52752686 0.66516113 0.75866699 0.52612305 0.13787842 0.25964355 0.65698242 0.33087158 
0.30389404 0.29345703 0.52740479 0.02252197 0.84692383 0.04260254 0.96704102 0.53295898 0.38647461 0.52075195 0.30102539 0.55059814 
0.24810791 0.03796387 0.55078125 0.90100098 0.82568359 0.86456299 0.35778809 0.11090088 0.64672852 0.19891357 0.27941895 0.23883057 
0.89562988 0.74169922 0.74957275 0.88238525 0.30859375 0.98046875 0.20721436 0.95202637 0.89312744 0.61706543 0.40130615 0.92633057 
0.68731689 0.69445801 0.04577637 0.94427490 0.19982910 0.13378906 0.86322021 0.31286621 0.56066895 0.13623047 0.90777588 0.89318848 
0.79156494 0.88146973 0.47521973 0.02001953 0.80358887 0.63696289 0.52886963 0.55023193 0.78643799 0.84759521 0.29895020 0.87103271 
0.95153809 0.45178223 0.11883545 0.01531982 0.22735596 0.54644775 0.80596924 0.14660645 0.98187256 0.15460205 0.00769043 0.08172607 
0.86126709 0.45501709 0.08819580 0.66961670 0.58813477 0.54431152 0.27966309 0.56964111 0.47778320 0.60443115 0.78863525 0.67761230 
0.26507568 0.62042236 0.76812744 0.59417725 0.87780762 0.31579590 0.05780029 0.20092773 0.72393799 0.31250000 0.66528320 0.37384033 
0.42987061 0.83386230 0.98547363 0.65966797 0.69641113 0.77661133 0.45440674 0.00183105 0.99401855 0.77124023 0.09503174 0.63885498 
0.45953369 0.20501709 0.86926270 0.57934570 0.56945801 0.48663330 0.17822266 0.82275391 0.45019531 0.10382080 0.83190918 0.20306396 
75 49
          0          1          2          3          4          5          6          7          8          9         10         11
0.71807861 0.40466309 0.67163086 0.00299072 0.66632080 0.33795166 0.93518066 0.39208984 0.62408447 0.05523682 0.90264893 0.06097412 
