4 12
52 167
          0          1          2          3          4          5          6          7          8          9         10         11
0.94201279 0.44022763 0.72517896 0.03694768 0.06811847 0.52802235 0.16355801 0.37394589 0.69751751 0.13790417 0.25094286 0.44387221 
0.44201279 0.88467205 0.52517897 0.75123340 0.43175486 0.14340696 0.86944032 0.16341954 0.93003172 0.82755935 0.89610416 0.79522353 
0.69201279 0.21800539 0.28517887 0.46551913 0.53092843 0.06648389 0.69296974 0.63710374 0.27785775 0.44824895 0.21868479 0.68711543 
0.19201279 0.55133873 0.08517889 0.71041709 0.62183750 0.29725313 0.34002864 0.74236691 0.97350997 0.55169725 0.96062022 0.93035871 
0.81701279 0.92170912 0.88517892 0.28184566 0.25820112 0.22033004 0.04591097 0.47920907 0.23437953 0.24135244 0.92836219 0.22765601 
0.31701279 0.25504243 0.68517894 0.99613142 0.16729201 0.60494542 0.10473450 0.24929214 0.10394474 0.17238693 0.41327375 0.84927762 
0.56701279 0.58837575 0.48517889 0.42470279 0.71274656 0.91263771 0.28120509 0.93350267 0.14742300 0.06893866 0.15520924 0.95738572 
0.06701279 0.69948685 0.27717888 0.13898851 0.80365568 0.45109928 0.51649916 0.03876582 0.79959691 0.48273173 0.80037051 0.13269618 
0.87951279 0.03282021 0.07717889 0.85327423 0.89456481 0.75879157 0.92826384 0.82823956 0.53872734 0.72411108 0.83262855 0.99756104 
0.37951279 0.36615354 0.87717897 0.56755996 0.34911022 0.83571464 0.75179327 0.98613429 0.40829253 0.62066281 0.67133826 0.07864212 
0.62951279 0.81059796 0.67717898 0.62878442 0.98547387 0.33867326 0.94902509 0.30192372 0.84307522 0.19854628 0.28424150 0.05161510 
0.12951279 0.14393131 0.47717887 0.20021299 0.07638294 0.95405787 0.18431926 0.45981845 0.66916215 0.99164969 0.38101569 0.83539885 
0.75451279 0.47726467 0.23717889 0.91449875 0.44001931 0.64636552 0.59608394 0.88087112 0.75611866 0.75027037 0.57456404 0.48404753 
0.25451279 0.95874614 0.03717888 0.34307015 0.48134163 0.49251944 0.53726041 0.14402898 0.88655347 0.30199450 0.99391890 0.10566915 
0.50451279 0.29207948 0.83717895 0.05735585 0.57225072 0.10790400 0.36078990 0.61771321 0.49524906 0.09509799 0.86488664 0.64620966 
0.00451279 0.62541276 0.63717896 0.77164155 0.20861432 0.03098092 0.41961342 0.35455528 0.62568390 0.88820142 0.60682213 0.26783130 
75 49
          0          1          2          3          4          5          6          7          8          9         10         11
0.96863174 0.59641618 0.32182273 0.78402960 0.32317826 0.23953570 0.14457865 0.26599705 0.19021967 0.24675058 0.69949031 0.60001624 
0.46863174 0.70752728 0.12182272 0.49831522 0.95954192 0.16261262 0.85046101 0.42389178 0.58152407 0.83295751 0.73174840 0.57298923 
0.71863174 0.04086061 0.92182273 0.65574974 0.05045099 0.54722804 0.67399043 0.84494442 0.71195889 0.90192306 0.76400650 0.32974598 
0.21863174 0.37419394 0.72182274 0.22717819 0.41408736 0.85492033 0.32104924 0.10810230 0.92178875 0.66054374 0.44142577 0.35677299 
0.84363174 0.81863838 0.52182275 0.94146407 0.47193861 0.39338183 0.02693159 0.58178651 0.26961476 0.35019886 0.02207096 0.41082704 
0.34363174 0.15197173 0.28182271 0.37003529 0.56284767 0.70107418 0.08575512 0.31862861 0.96526700 0.55709547 0.31239352 0.89731354 
0.59363174 0.48530507 0.08182272 0.08432104 0.19921134 0.77799726 0.26222572 0.05547072 0.22613649 0.31571609 0.24787742 0.27569193 
0.09363174 0.97913229 0.88182271 0.79860687 0.10830224 0.31054160 0.49751982 0.68704969 0.09570171 0.38468161 0.89303875 0.73515141 
0.90613174 0.31246555 0.68182272 0.51289260 0.65375674 0.92592633 0.90928453 0.52915496 0.13917996 0.00537127 0.21561936 0.54596221 
0.40613174 0.64579892 0.48182273 0.59452522 0.74466586 0.61823398 0.73281395 0.37126020 0.79135394 0.93640584 0.95755482 0.14055677 
0.65613174 0.75691003 0.27382272 0.16595370 0.83557498 0.46438777 0.98886925 0.16073388 0.53048438 0.48812988 0.92529678 0.51893514 
0.15613174 0.09024332 0.07382272 0.88023955 0.29012042 0.07977238 0.22416343 0.63441807 0.40004954 0.62606096 0.41020831 0.76217842 
0.78113174 0.42357665 0.87382275 0.30881080 0.92648405 0.00284929 0.63592809 0.73968124 0.83483225 0.10881954 0.15214381 0.43785408 
0.28113174 0.86802113 0.67382276 0.02309655 0.01739314 0.23361854 0.57710457 0.47652337 0.66091919 0.79847479 0.79730511 0.78920543 
0.53113174 0.20135444 0.47382271 0.73738235 0.38102952 0.15669546 0.40063402 0.24660647 0.74787569 0.41916436 0.82956314 0.68109733 
0.03113174 0.53468782 0.23382273 0.45166796 0.46367413 0.54131091 0.45945755 0.93081701 0.87831050 0.52261269 0.66827285 0.92434061 
121 153
          0          1          2          3          4          5          6          7          8          9         10         11
0.96291161 0.90139079 0.51088381 0.19604683 0.01482196 0.03342353 0.17303574 0.68849951 0.13653094 0.17405531 0.42548680 0.69210440 
0.46291161 0.23472410 0.26288384 0.91033268 0.37845835 0.26419279 0.87891811 0.53060478 0.78870487 0.96715873 0.00613197 0.93534768 
0.71291161 0.56805742 0.06288384 0.33890399 0.51895416 0.18726969 0.70244753 0.37271005 0.52783531 0.72577941 0.29645455 0.23264492 
0.21291161 0.67916852 0.86288381 0.05318970 0.60986328 0.57188505 0.34950632 0.16218375 0.39740053 0.27750355 0.23193842 0.85426658 
0.83791161 0.01250186 0.66288382 0.76747549 0.24622692 0.87957734 0.05538868 0.63586789 0.83218318 0.07060701 0.87709963 0.96237469 
0.33791161 0.34583518 0.46288383 0.48176116 0.15531783 0.41803893 0.11421221 0.74113107 0.65827012 0.86371046 0.19968036 0.12380634 
0.58791161 0.79027963 0.22288385 0.58380204 0.70077235 0.72573119 0.29068276 0.47797322 0.74522662 0.76026219 0.94161570 0.98867124 
0.08791161 0.12361298 0.02288384 0.15523051 0.79168147 0.80265427 0.52597696 0.24805634 0.87566143 0.24302082 0.90935767 0.06975228 
0.90041161 0.45694631 0.82288378 0.86951637 0.88259059 0.36478451 0.93774164 0.93226683 0.48435706 0.82922769 0.39010698 0.04272525 
0.40041161 0.93842781 0.62288380 0.29808766 0.33713606 0.98016912 0.76127106 0.03753000 0.61479187 0.89819324 0.13204248 0.82650906 
0.65041161 0.27176112 0.42288384 0.01237337 0.97349966 0.67247677 0.95158249 0.82700372 0.44087881 0.65681392 0.77720368 0.47515771 
0.15041161 0.60509443 0.38288385 0.72665918 0.06440874 0.51863062 0.18687658 0.98489845 0.31044403 0.34646907 0.80946171 0.09677931 
0.77541161 0.71620554 0.18288386 0.44094482 0.42804515 0.13401525 0.59864134 0.30068788 0.04957443 0.55336565 0.64817142 0.63731986 
0.27541161 0.04953890 0.98288381 0.68584287 0.52721864 0.05709217 0.53981781 0.45858261 0.00609616 0.31198630 0.26107472 0.25894147 
0.52541161 0.38287222 0.78288382 0.25727135 0.61812770 0.28786144 0.36334714 0.87963527 0.35392228 0.38095182 0.35784891 0.20488742 
0.02541161 0.82731664 0.58288378 0.97155720 0.25449142 0.21093832 0.42217067 0.14279318 0.18000920 0.00164150 0.55139720 0.50218475 
188 298
          0          1          2          3          4          5          6          7          8          9         10         11
0.97748566 0.67362893 0.42670029 0.86726767 0.25958124 0.16008547 0.11676106 0.59529799 0.18695337 0.59943783 0.52358544 0.23012592 
0.47748566 0.00696220 0.38670030 0.29583904 0.16867216 0.54470086 0.29323164 0.33214021 0.57825768 0.17256504 0.45906928 0.85174757 
0.72748566 0.34029552 0.18670030 0.01012472 0.71412671 0.85239315 0.52852577 0.06898230 0.70869249 0.96566850 0.16874669 0.95985568 
0.22748566 0.78474003 0.98670030 0.72441047 0.80503583 0.39085475 0.94029045 0.70056117 0.95632952 0.72428918 0.07197251 0.12859194 
0.85248566 0.11807332 0.78670031 0.43869621 0.89594495 0.69854701 0.76381987 0.54266644 0.30415562 0.27601328 0.62035966 0.99345678 
0.35248566 0.45140666 0.58670026 0.68359417 0.35049033 0.77547008 0.95413131 0.38477179 0.99980778 0.06911676 0.10423058 0.07453789 
0.60248566 0.93288821 0.34670031 0.25502273 0.98685402 0.30801451 0.18942541 0.17424546 0.26067737 0.86222023 0.03971445 0.04751086 
0.10248566 0.26622146 0.14670029 0.96930850 0.07776307 0.92339915 0.60119015 0.64792955 0.13024259 0.75877196 0.49132735 0.83129460 
0.91498566 0.59955484 0.94670027 0.39787987 0.44139943 0.61570680 0.54236662 0.75319272 0.17372085 0.24153055 0.68487573 0.47994331 
0.41498566 0.71066594 0.74670029 0.11216555 0.48272175 0.46186069 0.36589602 0.49003497 0.82589471 0.82773745 0.71713382 0.10156492 
0.66498566 0.04399925 0.54670030 0.82645130 0.57363087 0.07724524 0.42471954 0.23518729 0.56502515 0.89670300 0.74939191 0.64210540 
0.16498566 0.37733257 0.30670029 0.54073703 0.20999447 0.00032216 0.77766073 0.91939771 0.43459040 0.65532368 0.42681122 0.26372707 
0.78998566 0.82177705 0.10670029 0.64277786 0.11908537 0.23109140 0.13060187 0.02466097 0.86937302 0.34497881 0.00745639 0.20967303 
0.28998566 0.15511036 0.90670025 0.21420635 0.66453993 0.15416831 0.83648425 0.81413460 0.69545996 0.55187541 0.29777896 0.50697029 
0.53998566 0.48844370 0.70670027 0.92849219 0.75544906 0.53878373 0.66001368 0.97202933 0.78241646 0.31049603 0.23326282 0.66913247 
0.03998566 0.98227096 0.50670028 0.35706353 0.84635818 0.84647602 0.30707249 0.28781891 0.91285127 0.37946156 0.87842417 0.18264601 
