4 12
52 167
          0          1          2          3          4          5          6          7          8          9         10         11
0.63581944 0.82779747 0.84870619 0.75794971 0.60640985 0.39954999 0.20721382 0.99058735 0.49759129 0.20204134 0.76985031 0.47079521 
0.45175743 0.41007265 0.71207440 0.64035898 0.73851311 0.84095597 0.31184125 0.31572166 0.43970811 0.69596565 0.84306467 0.84368050 
0.84696865 0.29379693 0.57343805 0.91958177 0.02585686 0.99335688 0.59504300 0.44595841 0.07066405 0.06018868 0.87731385 0.52835435 
0.07137585 0.72932178 0.30839762 0.09872209 0.18373345 0.48337889 0.01559875 0.84868950 0.37697467 0.21669722 0.17408705 0.37540108 
0.53054476 0.62824810 0.17124867 0.49191239 0.87852526 0.05168799 0.57770181 0.11446393 0.58999205 0.42774990 0.13812913 0.00748121 
0.31877327 0.12254674 0.82285482 0.26535514 0.40634504 0.22193363 0.11573982 0.59334022 0.93335742 0.13159145 0.48741445 0.62942570 
0.95099449 0.89392716 0.66833371 0.42234221 0.13442327 0.86540484 0.39386949 0.34751362 0.97302127 0.48367250 0.37273741 0.13430704 
0.22373199 0.47021297 0.52017421 0.83554190 0.31779432 0.76590532 0.26367846 0.10513636 0.10123094 0.03073860 0.01031990 0.43269497 
75 49
          0          1          2          3          4          5          6          7          8          9         10         11
0.65937257 0.77389437 0.34141725 0.25929838 0.56534529 0.75289220 0.15228680 0.63254142 0.49232808 0.70274246 0.32638249 0.53272492 
0.49296522 0.64670426 0.02036357 0.39707351 0.77878892 0.37762991 0.76138186 0.75998503 0.44119561 0.06732397 0.94124866 0.35310072 
0.83384299 0.15594798 0.87122720 0.75500882 0.07129358 0.65462184 0.84667182 0.49515814 0.06423089 0.22437373 0.63583350 0.01817397 
0.10737586 0.93243068 0.69056189 0.58405262 0.21242721 0.14666587 0.97843117 0.24825354 0.38082373 0.43505397 0.81785309 0.63949341 
0.55806208 0.50322217 0.58656538 0.86890215 0.83679181 0.29408586 0.65728790 0.92830950 0.59613389 0.13427468 0.72837597 0.13247626 
0.37289500 0.02920802 0.28697166 0.11683495 0.36625499 0.54328865 0.23504119 0.02287425 0.92699403 0.48945916 0.97993296 0.45892799 
0.98093939 0.84261364 0.18571585 0.44305950 0.09171157 0.39988643 0.30847290 0.82756299 0.96446544 0.00404668 0.25075603 0.91046774 
0.19467187 0.42299730 0.83990359 0.22609358 0.27772602 0.84528100 0.64339960 0.97559166 0.08965231 0.34172565 0.46977881 0.32382849 
121 153
          0          1          2          3          4          5          6          7          8          9         10         11
0.67114973 0.01996021 0.19501828 0.43545386 0.58781528 0.36441743 0.45364320 0.18790729 0.94626600 0.56018591 0.65747654 0.16784179 
0.48763418 0.83061874 0.80210215 0.23715468 0.76820529 0.62038803 0.50389767 0.66601020 0.97623968 0.65698969 0.74773449 0.46955577 
0.84319568 0.40769401 0.64808494 0.37525231 0.01271965 0.13169739 0.78037071 0.78622228 0.12490417 0.85941494 0.85039306 0.84498733 
0.09820318 0.29262716 0.55000180 0.76210427 0.25434130 0.30211622 0.89869630 0.50574237 0.79085302 0.76922059 0.89689511 0.53389245 
0.55413985 0.73159301 0.27936026 0.65281355 0.86168391 0.55618870 0.14111604 0.25746429 0.39786804 0.10222147 0.16968462 0.35191736 
0.36269832 0.62655401 0.12143189 0.92560226 0.39305770 0.45477653 0.74095845 0.89812857 0.69175172 0.75063646 0.14811429 0.02420543 
0.96881604 0.12194733 0.99167734 0.08353353 0.12011832 0.80773115 0.87161058 0.04853563 0.88713908 0.20431888 0.50855863 0.64600098 
0.20145988 0.89660418 0.61797684 0.49680623 0.30052143 0.97813380 0.96385288 0.83568269 0.63130903 0.72302920 0.37165797 0.13117994 
188 298
          0          1          2          3          4          5          6          7          8          9         10         11
0.70296288 0.19351628 0.06334793 0.12374517 0.12909555 0.12570979 0.85470414 0.57455951 0.89553177 0.45663038 0.64832789 0.34064719 
0.41201282 0.97353464 0.88057548 0.46669400 0.30655488 0.23622175 0.95477468 0.38208130 0.61917621 0.15407844 0.75147390 0.71611291 
0.75207901 0.54371899 0.74257320 0.14942308 0.47331491 0.59607160 0.69255662 0.19495589 0.31546038 0.53067470 0.84266311 0.10558769 
0.05557752 0.06349971 0.40817344 0.28900209 0.69821233 0.41371751 0.21908814 0.64116985 0.02813259 0.82620919 0.88641465 0.96973103 
0.59621906 0.86093700 0.35931349 0.80429155 0.98190987 0.78228033 0.30016777 0.74978155 0.18137445 0.65221125 0.18150480 0.77127880 
0.27240276 0.33816940 0.03535309 0.62377304 0.57452542 0.97080123 0.61685276 0.48122469 0.71538764 0.95284742 0.15289876 0.42562541 
0.93393016 0.32353142 0.84119558 0.91020191 0.80641329 0.52356070 0.05527686 0.23290449 0.29083070 0.40310794 0.50898212 0.87172109 
0.17936087 0.75968039 0.70902258 0.01494120 0.03878921 0.04729129 0.57999736 0.91358757 0.21773235 0.55433184 0.36930442 0.26682124 
