4 12
52 167
          0          1          2          3          4          5          6          7          8          9         10         11
0.99650168 0.33995953 0.65052462 0.91234070 0.83482099 0.74958503 0.07682150 0.62787586 0.63315755 0.29697356 0.33975908 0.57140076 
0.49650168 0.78440404 0.45052457 0.34091201 0.28936639 0.82650810 0.25329208 0.36471799 0.45924449 0.09007701 0.53330743 0.32815754 
0.74650168 0.11773733 0.21052457 0.05519775 0.92573005 0.37088689 0.48858622 0.10156011 0.32880971 0.88318044 0.46879134 0.35518456 
0.24650168 0.45107067 0.01052457 0.76948351 0.01663910 0.98627150 0.90035087 0.73313904 0.06794014 0.77973217 0.17846875 0.40923861 
0.87150168 0.93255222 0.81052458 0.48376918 0.38027549 0.67857915 0.72388029 0.57524431 0.02446187 0.26249081 0.08169457 0.89572507 
0.37150168 0.26588547 0.61052459 0.58581007 0.46292010 0.52473301 0.94187337 0.41734958 0.37228796 0.84869766 0.63008165 0.27410349 
0.62150168 0.59921885 0.41052458 0.15723857 0.55382925 0.14011763 0.17716751 0.20682326 0.19837491 0.91766322 0.11395263 0.73356295 
0.12150168 0.71032995 0.37052459 0.87152439 0.19019283 0.06319454 0.58893222 0.68050742 0.58967924 0.67628390 0.04943649 0.54437375 
0.93400168 0.04366326 0.17052458 0.30009568 0.09928373 0.29396382 0.53010869 0.78577060 0.72011405 0.36593908 0.50104940 0.13896836 
0.43400168 0.37699658 0.97052461 0.01438142 0.64473832 0.21704070 0.35363811 0.52261269 0.93183428 0.57283562 0.69459772 0.51734668 
0.68400168 0.82144105 0.77052462 0.72866720 0.73564744 0.60165608 0.41246164 0.21236344 0.27966034 0.33145630 0.72685581 0.76058996 
0.18400168 0.15477437 0.57052457 0.44295284 0.82655656 0.90934837 0.76540279 0.89657390 0.97531253 0.40042183 0.75911391 0.43626565 
0.80900168 0.48810771 0.33052459 0.68785089 0.28110191 0.44780996 0.11834399 0.00183712 0.23618211 0.02111149 0.43653327 0.78761697 
0.30900168 0.98193496 0.13052458 0.25927937 0.91746563 0.75550222 0.82422632 0.79131079 0.10574732 0.95214599 0.01717843 0.67950886 
0.55900168 0.31526819 0.93052459 0.97356522 0.00837464 0.83242530 0.64775574 0.94920552 0.14922558 0.50387013 0.30750102 0.92275214 
0.05900168 0.64860159 0.73052460 0.40213650 0.37201101 0.33447358 0.29481459 0.26499501 0.80139947 0.64180112 0.24298488 0.22004944 
0.96525168 0.75971270 0.53052461 0.11642224 0.51250690 0.94985825 0.00069692 0.42288974 0.54052991 0.12455976 0.88814616 0.84167105 
0.46525168 0.09304597 0.29052457 0.83070803 0.60341603 0.64216590 0.05952045 0.84394234 0.41009513 0.81421494 0.21072681 0.94977915 
0.71525168 0.42637929 0.09052458 0.54499376 0.23977961 0.48831975 0.23599103 0.10710027 0.84487778 0.43490458 0.95266223 0.12216777 
0.21525168 0.87082380 0.89052457 0.64703459 0.14887051 0.10370433 0.47128516 0.58078444 0.67096472 0.53835285 0.92040420 0.98703265 
0.84025168 0.20415708 0.69052458 0.21846306 0.69432509 0.02678126 0.88304985 0.31762657 0.75792122 0.22800805 0.40219402 0.06811371 
0.34025168 0.53749049 0.49052459 0.93274891 0.78523421 0.25755051 0.70657927 0.05446870 0.88835603 0.15904254 0.14412951 0.04108668 
0.59025168 0.90786088 0.24252458 0.36132017 0.87614334 0.18062742 0.94533360 0.68604761 0.49705166 0.05559425 0.78929079 0.82487047 
