10 32
4 167
          0          1          2          3          4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30         31
0.11212158 0.77264643 0.22835201 0.75159162 0.42729327 0.49858204 0.94242167 0.26783097 0.34388101 0.19910616 0.42079821 0.87671018 0.36296627 0.21532694 0.30290014 0.41725722 0.20886263 0.77211750 0.78459120 0.04642495 0.57759941 0.54238307 0.47801018 0.07259326 0.34254548 0.61513674 0.38919878 0.18700404 0.21075666 0.45046598 0.15524831 0.37154013 
0.61212158 0.21709089 0.42835197 0.89444882 0.51820230 0.57550508 0.00470540 0.32046252 0.38735926 0.23358890 0.45305628 0.90373719 0.38735652 0.23858275 0.32417673 0.43612516 0.22581179 0.78851092 0.79951656 0.06050945 0.59129804 0.55504131 0.49005836 0.08382922 0.35285476 0.62503773 0.39890751 0.19634984 0.21993096 0.45931554 0.16312233 0.37917370 
0.36212158 0.55042422 0.62835199 0.05771406 0.60911143 0.65242815 0.06352893 0.37309411 0.43083751 0.26807165 0.48531434 0.93076426 0.41174677 0.26183859 0.34545332 0.45499307 0.24276094 0.80490434 0.81444192 0.07459396 0.60499662 0.56769949 0.50210649 0.09506517 0.36316404 0.63493872 0.40861624 0.20569564 0.22910528 0.46816510 0.17099634 0.38680729 
0.86212158 0.88375753 0.82835197 0.20057119 0.70002049 0.72935122 0.12235246 0.42572570 0.47431579 0.30255443 0.51757240 0.95779127 0.43613702 0.28509441 0.36672992 0.47386098 0.25971010 0.82129782 0.82936728 0.08867847 0.61869526 0.58035773 0.51415467 0.10630112 0.37347332 0.64483970 0.41832498 0.21504143 0.23827960 0.47701463 0.17887037 0.39444089 
0.23712158 0.32820204 0.06835201 0.34342837 0.79092962 0.80627429 0.18117601 0.47835729 0.51779401 0.33703718 0.54983044 0.98481828 0.46052727 0.30835021 0.38800651 0.49272892 0.27665925 0.83769125 0.84429264 0.10276298 0.63239390 0.59301597 0.52620286 0.11753708 0.38378260 0.65474069 0.42803371 0.22438723 0.24745390 0.48586419 0.18674438 0.40207449 
0.73712158 0.66153532 0.26835197 0.48628554 0.88183874 0.88319737 0.23999953 0.53098887 0.56127226 0.37151995 0.58208853 0.01257576 0.48491749 0.33160603 0.40928310 0.51159686 0.29360840 0.85408467 0.85921806 0.11684749 0.64609253 0.60567421 0.53825110 0.12877303 0.39409187 0.66464168 0.43774244 0.23373303 0.25662822 0.49471375 0.19461839 0.40970805 
0.48712158 0.99486870 0.46835196 0.62914264 0.97274780 0.96012050 0.29882303 0.58362043 0.60475051 0.40600270 0.61434662 0.03960279 0.50930774 0.35486183 0.43055969 0.53046477 0.31055754 0.87047815 0.87414342 0.13093199 0.65979117 0.61833245 0.55029929 0.14000899 0.40440115 0.67454267 0.44745120 0.24307881 0.26580253 0.50356334 0.20249240 0.41734165 
0.98712158 0.01132958 0.66835201 0.77199978 0.07192132 0.04296068 0.35764655 0.63625199 0.64822882 0.44048545 0.64660466 0.06662982 0.53369802 0.37811765 0.45183629 0.54933268 0.32750672 0.88687158 0.88906878 0.14501649 0.67348981 0.63099068 0.56234747 0.15124494 0.41471043 0.68444365 0.45715994 0.25242460 0.27497685 0.51241285 0.21036641 0.42497525 
0.01055908 0.34466290 0.86835200 0.91485697 0.16283041 0.11988377 0.41647008 0.68888360 0.69170707 0.47496822 0.67886269 0.09365685 0.55808824 0.40137348 0.47311288 0.56820065 0.34445587 0.90326500 0.90399414 0.15910101 0.68718845 0.64364886 0.57439566 0.16248091 0.42501971 0.69434464 0.46686867 0.26177040 0.28415114 0.52126241 0.21824044 0.43260881 
0.51055908 0.67799622 0.10835201 0.07812221 0.25373954 0.19680683 0.47529361 0.74151516 0.73518533 0.50945097 0.71112078 0.12068387 0.58247852 0.42462927 0.49438947 0.58706856 0.36140501 0.91965848 0.91891950 0.17318551 0.70088708 0.65630710 0.58644384 0.17371686 0.43532899 0.70424563 0.47657740 0.27111620 0.29332545 0.53011197 0.22611445 0.44024241 
