4 12
52 167
          0          1          2          3          4          5          6          7          8          9         10         11
0.11987686 0.25312313 0.16183297 0.18659863 0.15721728 0.76454991 0.96673965 0.03484514 0.70711583 0.65337539 0.38656402 0.68272471 
0.61987686 0.58645642 0.36183295 0.32945579 0.24812637 0.84147298 0.02902335 0.08747671 0.75059408 0.68785816 0.41882208 0.70975173 
0.36987686 0.91978979 0.56183296 0.47231296 0.33903548 0.91839606 0.08784688 0.14010830 0.79407233 0.72234094 0.45108014 0.73677880 
0.86987686 0.06793793 0.76183301 0.61517006 0.42994457 0.99531919 0.14667040 0.19273987 0.83755064 0.75682366 0.48333821 0.76380581 
0.24487686 0.40127128 0.96183300 0.75802720 0.52085370 0.00169139 0.20549394 0.24537146 0.88102889 0.79130644 0.51559627 0.79083282 
0.74487686 0.73460454 0.00983296 0.90088439 0.61176276 0.07861447 0.26431745 0.29800305 0.92450714 0.82578921 0.54785430 0.81785983 
0.49487686 0.17904904 0.20983297 0.06414966 0.70267189 0.15553755 0.32314098 0.35063460 0.96798539 0.86027193 0.58011234 0.84488690 
0.99487686 0.51238239 0.40983292 0.20700680 0.79358101 0.23246063 0.38196450 0.40326619 0.01335401 0.89475471 0.61237043 0.87191391 
75 49
          0          1          2          3          4          5          6          7          8          9         10         11
0.07799149 0.00025591 0.27113470 0.79654860 0.05417596 0.37038139 0.99354798 0.26891333 0.68773335 0.44336548 0.26686561 0.52942729 
0.57799149 0.33358923 0.47113469 0.93940580 0.14508504 0.44730446 0.05583168 0.32154489 0.73121160 0.47784826 0.29912367 0.55645436 
0.32799149 0.66692263 0.67113471 0.10267103 0.23599413 0.52422756 0.11465521 0.37417647 0.77468985 0.51233107 0.33138174 0.58348137 
0.82799149 0.11136703 0.87113470 0.24552818 0.32690325 0.60115063 0.17347874 0.42680806 0.81816810 0.54681379 0.36363980 0.61050838 
0.20299149 0.44470036 0.11113472 0.38838533 0.41781235 0.67807370 0.23230228 0.47943965 0.86164641 0.58129656 0.39589787 0.63753539 
0.70299149 0.77803373 0.31113470 0.53124249 0.50872141 0.75499678 0.29112577 0.53207129 0.90512466 0.61577934 0.42815593 0.66456246 
0.45299149 0.22247814 0.51113468 0.67409962 0.59963048 0.83191985 0.34994933 0.58470285 0.94860291 0.65026206 0.46041399 0.69158947 
0.95299149 0.55581152 0.71113467 0.81695676 0.69053954 0.90884292 0.40877286 0.63733441 0.99208117 0.68474483 0.49267206 0.71861649 
121 153
          0          1          2          3          4          5          6          7          8          9         10         11
0.06636238 0.89189965 0.77375495 0.56706214 0.15421879 0.80833203 0.95618075 0.97876865 0.86866850 0.82251894 0.82771045 0.70791787 
0.56636238 0.04004773 0.97375494 0.70991927 0.24512789 0.88525510 0.01846454 0.03417028 0.91214675 0.85700166 0.85996854 0.73494494 
0.31636238 0.37338105 0.02175488 0.85277641 0.33603701 0.96217823 0.07728807 0.08680186 0.95562500 0.89148444 0.89222664 0.76197195 
0.81636238 0.70671439 0.22175489 0.99563360 0.42694610 0.04501836 0.13611160 0.13943344 0.99910325 0.92596722 0.92448467 0.78899896 
0.19136238 0.15115884 0.42175490 0.01895712 0.51785517 0.12194145 0.19493513 0.19206502 0.00107577 0.96044999 0.95674270 0.81602597 
0.69136238 0.48449218 0.62175488 0.16181427 0.60876429 0.19886450 0.25375867 0.24469660 0.04455403 0.99493271 0.98900080 0.84305304 
0.44136238 0.81782550 0.82175487 0.30467141 0.69967335 0.27578762 0.31258222 0.29732817 0.08803229 0.03060453 0.02229944 0.87008005 
0.94136238 0.26226994 0.06175488 0.44752857 0.79058248 0.35271069 0.37140575 0.34995973 0.13151054 0.06508728 0.05455750 0.89710706 
188 298
          0          1          2          3          4          5          6          7          8          9         10         11
0.03721428 0.88240081 0.63961911 0.00738274 0.34184995 0.86524409 0.63480192 0.41969565 0.67064172 0.28281826 0.14073098 0.73889494 
0.53721428 0.32684535 0.83961910 0.15023988 0.43275905 0.94216722 0.69362545 0.47232723 0.71411997 0.31730101 0.17298904 0.76592195 
0.28721428 0.66017860 0.07961908 0.29309705 0.52366811 0.02500741 0.75244898 0.52495885 0.75759822 0.35178378 0.20524710 0.79294896 
0.78721428 0.99351197 0.27961907 0.43595421 0.61457717 0.10193049 0.81127250 0.57759041 0.80107647 0.38626653 0.23750517 0.81997597 
0.16221428 0.00997289 0.47961906 0.57881129 0.70548630 0.17885357 0.87009603 0.63022196 0.84455478 0.42074928 0.26976320 0.84700304 
0.66221428 0.34330621 0.67961913 0.72166842 0.79639542 0.25577667 0.92891955 0.68285352 0.88803303 0.45523205 0.30202127 0.87403005 
0.41221428 0.67663950 0.87961912 0.86452562 0.88730454 0.33269975 0.98774308 0.73548514 0.93151128 0.48971480 0.33427933 0.90105706 
0.91221428 0.12108400 0.11961909 0.02779090 0.97821355 0.40962282 0.05002687 0.78811669 0.97498953 0.52419764 0.36653739 0.92808414 
