          0          1          2          3          4          5          6          7          8          9         10         11
0.65722656 0.53808594 0.70605469 0.79980469 0.44433594 0.62402344 0.77246094 0.29785156 0.42089844 0.94042969 0.28027344 0.37597656 
0.15722656 0.03808594 0.20605469 0.29980469 0.94433594 0.12402344 0.27246094 0.79785156 0.92089844 0.44042969 0.78027344 0.87597656 
0.40722656 0.28808594 0.95605469 0.54980469 0.19433594 0.37402344 0.02246094 0.54785156 0.67089844 0.69042969 0.53027344 0.62597656 
0.90722656 0.78808594 0.45605469 0.04980469 0.69433594 0.87402344 0.52246094 0.04785156 0.17089844 0.19042969 0.03027344 0.12597656 
0.78222656 0.66308594 0.83105469 0.42480469 0.31933594 0.99902344 0.89746094 0.67285156 0.29589844 0.56542969 0.65527344 0.25097656 
0.28222656 0.16308594 0.33105469 0.92480469 0.81933594 0.49902344 0.39746094 0.17285156 0.79589844 0.06542969 0.15527344 0.75097656 
0.03222656 0.41308594 0.58105469 0.17480469 0.06933594 0.24902344 0.14746094 0.42285156 0.54589844 0.81542969 0.40527344 0.50097656 
0.53222656 0.91308594 0.08105469 0.67480469 0.56933594 0.74902344 0.64746094 0.92285156 0.04589844 0.31542969 0.90527344 0.00097656 
0.21972656 0.85058594 0.51855469 0.61230469 0.25683594 0.06152344 0.20996094 0.98535156 0.73339844 0.37792969 0.46777344 0.56347656 
0.71972656 0.35058594 0.01855469 0.11230469 0.75683594 0.56152344 0.70996094 0.48535156 0.23339844 0.87792969 0.96777344 0.06347656 
0.96972656 0.10058594 0.76855469 0.86230469 0.00683594 0.81152344 0.95996094 0.23535156 0.48339844 0.12792969 0.71777344 0.31347656 
0.46972656 0.60058594 0.26855469 0.36230469 0.50683594 0.31152344 0.45996094 0.73535156 0.98339844 0.62792969 0.21777344 0.81347656 
0.34472656 0.97558594 0.89355469 0.23730469 0.38183594 0.43652344 0.08496094 0.11035156 0.60839844 0.00292969 0.59277344 0.68847656 
0.84472656 0.47558594 0.39355469 0.73730469 0.88183594 0.93652344 0.58496094 0.61035156 0.10839844 0.50292969 0.09277344 0.18847656 
0.59472656 0.22558594 0.64355469 0.48730469 0.13183594 0.68652344 0.83496094 0.86035156 0.35839844 0.25292969 0.34277344 0.43847656 
0.09472656 0.72558594 0.14355469 0.98730469 0.63183594 0.18652344 0.33496094 0.36035156 0.85839844 0.75292969 0.84277344 0.93847656 
0.25097656 0.44433594 0.48730469 0.26855469 0.16308594 0.65527344 0.67871094 0.95410156 0.13964844 0.22167969 0.18652344 0.59472656 
0.75097656 0.94433594 0.98730469 0.76855469 0.66308594 0.15527344 0.17871094 0.45410156 0.63964844 0.72167969 0.68652344 0.09472656 
0.50097656 0.69433594 0.23730469 0.01855469 0.41308594 0.40527344 0.42871094 0.20410156 0.88964844 0.47167969 0.93652344 0.34472656 
0.00097656 0.19433594 0.73730469 0.51855469 0.91308594 0.90527344 0.92871094 0.70410156 0.38964844 0.97167969 0.43652344 0.84472656 
0.12597656 0.31933594 0.11230469 0.89355469 0.03808594 0.78027344 0.55371094 0.07910156 0.01464844 0.34667969 0.81152344 0.71972656 
0.62597656 0.81933594 0.61230469 0.39355469 0.53808594 0.28027344 0.05371094 0.57910156 0.51464844 0.84667969 0.31152344 0.21972656 
0.87597656 0.56933594 0.36230469 0.64355469 0.28808594 0.03027344 0.30371094 0.82910156 0.76464844 0.09667969 0.06152344 0.46972656 
0.37597656 0.06933594 0.86230469 0.14355469 0.78808594 0.53027344 0.80371094 0.32910156 0.26464844 0.59667969 0.56152344 0.96972656 
0.81347656 0.13183594 0.29980469 0.08105469 0.10058594 0.21777344 0.36621094 0.26660156 0.95214844 0.65917969 0.12402344 0.40722656 
0.31347656 0.63183594 0.79980469 0.58105469 0.60058594 0.71777344 0.86621094 0.76660156 0.45214844 0.15917969 0.62402344 0.90722656 
0.06347656 0.88183594 0.04980469 0.33105469 0.35058594 0.96777344 0.61621094 0.51660156 0.20214844 0.90917969 0.87402344 0.65722656 
0.56347656 0.38183594 0.54980469 0.83105469 0.85058594 0.46777344 0.11621094 0.01660156 0.70214844 0.40917969 0.37402344 0.15722656 
0.68847656 0.00683594 0.17480469 0.70605469 0.22558594 0.34277344 0.49121094 0.64160156 0.82714844 0.78417969 0.99902344 0.28222656 
0.18847656 0.50683594 0.67480469 0.20605469 0.72558594 0.84277344 0.99121094 0.14160156 0.32714844 0.28417969 0.49902344 0.78222656 
0.43847656 0.75683594 0.42480469 0.95605469 0.47558594 0.59277344 0.74121094 0.39160156 0.07714844 0.53417969 0.24902344 0.53222656 
0.93847656 0.25683594 0.92480469 0.45605469 0.97558594 0.09277344 0.24121094 0.89160156 0.57714844 0.03417969 0.74902344 0.03222656 
0.47753906 0.37402344 0.77636719 0.97949219 0.29589844 0.10058594 0.59277344 0.74316406 0.19433594 0.83886719 0.53808594 0.21191406 
0.97753906 0.87402344 0.27636719 0.47949219 0.79589844 0.60058594 0.09277344 0.24316406 0.69433594 0.33886719 0.03808594 0.71191406 
0.72753906 0.62402344 0.52636719 0.72949219 0.04589844 0.85058594 0.34277344 0.49316406 0.94433594 0.58886719 0.28808594 0.96191406 
0.22753906 0.12402344 0.02636719 0.22949219 0.54589844 0.35058594 0.84277344 0.99316406 0.44433594 0.08886719 0.78808594 0.46191406 
0.10253906 0.49902344 0.65136719 0.35449219 0.42089844 0.47558594 0.71777344 0.36816406 0.06933594 0.71386719 0.41308594 0.08691406 
0.60253906 0.99902344 0.15136719 0.85449219 0.92089844 0.97558594 0.21777344 0.86816406 0.56933594 0.21386719 0.91308594 0.58691406 
0.85253906 0.74902344 0.90136719 0.10449219 0.17089844 0.72558594 0.46777344 0.61816406 0.81933594 0.96386719 0.66308594 0.83691406 
0.35253906 0.24902344 0.40136719 0.60449219 0.67089844 0.22558594 0.96777344 0.11816406 0.31933594 0.46386719 0.16308594 0.33691406 
0.91503906 0.06152344 0.96386719 0.66699219 0.48339844 0.53808594 0.40527344 0.05566406 0.88183594 0.27636719 0.72558594 0.77441406 
0.41503906 0.56152344 0.46386719 0.16699219 0.98339844 0.03808594 0.90527344 0.55566406 0.38183594 0.77636719 0.22558594 0.27441406 
0.16503906 0.81152344 0.71386719 0.91699219 0.23339844 0.28808594 0.65527344 0.80566406 0.13183594 0.02636719 0.47558594 0.02441406 
0.66503906 0.31152344 0.21386719 0.41699219 0.73339844 0.78808594 0.15527344 0.30566406 0.63183594 0.52636719 0.97558594 0.52441406 
0.54003906 0.18652344 0.58886719 0.04199219 0.35839844 0.91308594 0.28027344 0.93066406 0.75683594 0.15136719 0.35058594 0.89941406 
0.04003906 0.68652344 0.08886719 0.54199219 0.85839844 0.41308594 0.78027344 0.43066406 0.25683594 0.65136719 0.85058594 0.39941406 
0.29003906 0.93652344 0.83886719 0.29199219 0.10839844 0.16308594 0.53027344 0.18066406 0.00683594 0.40136719 0.60058594 0.14941406 
0.79003906 0.43652344 0.33886719 0.79199219 0.60839844 0.66308594 0.03027344 0.68066406 0.50683594 0.90136719 0.10058594 0.64941406 
0.57128906 0.65527344 0.05761719 0.44824219 0.07714844 0.13183594 0.99902344 0.02441406 0.47558594 0.12011719 0.88183594 0.80566406 
0.07128906 0.15527344 0.55761719 0.94824219 0.57714844 0.63183594 0.49902344 0.52441406 0.97558594 0.62011719 0.38183594 0.30566406 
0.32128906 0.40527344 0.30761719 0.19824219 0.32714844 0.88183594 0.24902344 0.77441406 0.72558594 0.37011719 0.13183594 0.05566406 
0.82128906 0.90527344 0.80761719 0.69824219 0.82714844 0.38183594 0.74902344 0.27441406 0.22558594 0.87011719 0.63183594 0.55566406 
0.94628906 0.53027344 0.43261719 0.82324219 0.20214844 0.25683594 0.87402344 0.89941406 0.35058594 0.49511719 0.00683594 0.93066406 
0.44628906 0.03027344 0.93261719 0.32324219 0.70214844 0.75683594 0.37402344 0.39941406 0.85058594 0.99511719 0.50683594 0.43066406 
0.19628906 0.28027344 0.18261719 0.57324219 0.45214844 0.50683594 0.12402344 0.14941406 0.60058594 0.24511719 0.75683594 0.18066406 
0.69628906 0.78027344 0.68261719 0.07324219 0.95214844 0.00683594 0.62402344 0.64941406 0.10058594 0.74511719 0.25683594 0.68066406 
0.00878906 0.96777344 0.24511719 0.13574219 0.13964844 0.69433594 0.06152344 0.71191406 0.66308594 0.55761719 0.81933594 0.24316406 
0.50878906 0.46777344 0.74511719 0.63574219 0.63964844 0.19433594 0.56152344 0.21191406 0.16308594 0.05761719 0.31933594 0.74316406 
0.75878906 0.21777344 0.49511719 0.38574219 0.38964844 0.44433594 0.81152344 0.46191406 0.41308594 0.80761719 0.06933594 0.99316406 
0.25878906 0.71777344 0.99511719 0.88574219 0.88964844 0.94433594 0.31152344 0.96191406 0.91308594 0.30761719 0.56933594 0.49316406 
0.38378906 0.84277344 0.37011719 0.51074219 0.01464844 0.81933594 0.18652344 0.33691406 0.53808594 0.93261719 0.19433594 0.11816406 
0.88378906 0.34277344 0.87011719 0.01074219 0.51464844 0.31933594 0.68652344 0.83691406 0.03808594 0.43261719 0.69433594 0.61816406 
0.63378906 0.09277344 0.12011719 0.76074219 0.26464844 0.06933594 0.93652344 0.58691406 0.28808594 0.68261719 0.94433594 0.86816406 
0.13378906 0.59277344 0.62011719 0.26074219 0.76464844 0.56933594 0.43652344 0.08691406 0.78808594 0.18261719 0.44433594 0.36816406 
0.14941406 0.17089844 0.88574219 0.87011719 0.90527344 0.86621094 0.95214844 0.50878906 0.74121094 0.63574219 0.39746094 0.00878906 
0.64941406 0.67089844 0.38574219 0.37011719 0.40527344 0.36621094 0.45214844 0.00878906 0.24121094 0.13574219 0.89746094 0.50878906 
0.89941406 0.92089844 0.63574219 0.62011719 0.65527344 0.11621094 0.20214844 0.25878906 0.49121094 0.88574219 0.64746094 0.75878906 
0.39941406 0.42089844 0.13574219 0.12011719 0.15527344 0.61621094 0.70214844 0.75878906 0.99121094 0.38574219 0.14746094 0.25878906 
0.27441406 0.04589844 0.51074219 0.49511719 0.78027344 0.74121094 0.82714844 0.38378906 0.61621094 0.76074219 0.52246094 0.13378906 
0.77441406 0.54589844 0.01074219 0.99511719 0.28027344 0.24121094 0.32714844 0.88378906 0.11621094 0.26074219 0.02246094 0.63378906 
0.52441406 0.79589844 0.76074219 0.24511719 0.53027344 0.49121094 0.07714844 0.63378906 0.36621094 0.51074219 0.27246094 0.88378906 
0.02441406 0.29589844 0.26074219 0.74511719 0.03027344 0.99121094 0.57714844 0.13378906 0.86621094 0.01074219 0.77246094 0.38378906 
0.71191406 0.48339844 0.82324219 0.55761719 0.84277344 0.30371094 0.01464844 0.19628906 0.42871094 0.19824219 0.33496094 0.94628906 
0.21191406 0.98339844 0.32324219 0.05761719 0.34277344 0.80371094 0.51464844 0.69628906 0.92871094 0.69824219 0.83496094 0.44628906 
0.46191406 0.73339844 0.57324219 0.80761719 0.59277344 0.55371094 0.76464844 0.94628906 0.67871094 0.44824219 0.58496094 0.19628906 
0.96191406 0.23339844 0.07324219 0.30761719 0.09277344 0.05371094 0.26464844 0.44628906 0.17871094 0.94824219 0.08496094 0.69628906 
0.83691406 0.35839844 0.69824219 0.18261719 0.96777344 0.17871094 0.13964844 0.82128906 0.30371094 0.32324219 0.70996094 0.82128906 
0.33691406 0.85839844 0.19824219 0.68261719 0.46777344 0.67871094 0.63964844 0.32128906 0.80371094 0.82324219 0.20996094 0.32128906 
0.08691406 0.60839844 0.94824219 0.43261719 0.71777344 0.92871094 0.88964844 0.07128906 0.55371094 0.07324219 0.45996094 0.07128906 
0.58691406 0.10839844 0.44824219 0.93261719 0.21777344 0.42871094 0.38964844 0.57128906 0.05371094 0.57324219 0.95996094 0.57128906 
0.80566406 0.82714844 0.16699219 0.33886719 0.74902344 0.89746094 0.60839844 0.22753906 0.95996094 0.41699219 0.05371094 0.97753906 
0.30566406 0.32714844 0.66699219 0.83886719 0.24902344 0.39746094 0.10839844 0.72753906 0.45996094 0.91699219 0.55371094 0.47753906 
0.05566406 0.07714844 0.41699219 0.08886719 0.99902344 0.14746094 0.35839844 0.97753906 0.20996094 0.16699219 0.80371094 0.22753906 
0.55566406 0.57714844 0.91699219 0.58886719 0.49902344 0.64746094 0.85839844 0.47753906 0.70996094 0.66699219 0.30371094 0.72753906 
0.68066406 0.95214844 0.29199219 0.96386719 0.62402344 0.52246094 0.73339844 0.85253906 0.83496094 0.04199219 0.92871094 0.85253906 
0.18066406 0.45214844 0.79199219 0.46386719 0.12402344 0.02246094 0.23339844 0.35253906 0.33496094 0.54199219 0.42871094 0.35253906 
0.43066406 0.20214844 0.04199219 0.71386719 0.87402344 0.27246094 0.48339844 0.10253906 0.08496094 0.29199219 0.17871094 0.10253906 
0.93066406 0.70214844 0.54199219 0.21386719 0.37402344 0.77246094 0.98339844 0.60253906 0.58496094 0.79199219 0.67871094 0.60253906 
0.36816406 0.51464844 0.10449219 0.02636719 0.56152344 0.45996094 0.42089844 0.54003906 0.14746094 0.97949219 0.24121094 0.04003906 
0.86816406 0.01464844 0.60449219 0.52636719 0.06152344 0.95996094 0.92089844 0.04003906 0.64746094 0.47949219 0.74121094 0.54003906 
0.61816406 0.26464844 0.35449219 0.27636719 0.81152344 0.70996094 0.67089844 0.29003906 0.89746094 0.72949219 0.99121094 0.79003906 
0.11816406 0.76464844 0.85449219 0.77636719 0.31152344 0.20996094 0.17089844 0.79003906 0.39746094 0.22949219 0.49121094 0.29003906 
0.24316406 0.63964844 0.47949219 0.65136719 0.68652344 0.08496094 0.29589844 0.41503906 0.02246094 0.60449219 0.86621094 0.16503906 
0.74316406 0.13964844 0.97949219 0.15136719 0.18652344 0.58496094 0.79589844 0.91503906 0.52246094 0.10449219 0.36621094 0.66503906 
0.99316406 0.38964844 0.22949219 0.90136719 0.93652344 0.83496094 0.54589844 0.66503906 0.77246094 0.85449219 0.11621094 0.91503906 
0.49316406 0.88964844 0.72949219 0.40136719 0.43652344 0.33496094 0.04589844 0.16503906 0.27246094 0.35449219 0.61621094 0.41503906 
0.19238281 0.43261719 0.42089844 0.77246094 0.96386719 0.97167969 0.79980469 0.19238281 0.87011719 0.53027344 0.50292969 0.62988281 
0.69238281 0.93261719 0.92089844 0.27246094 0.46386719 0.47167969 0.29980469 0.69238281 0.37011719 0.03027344 0.00292969 0.12988281 
0.94238281 0.68261719 0.17089844 0.52246094 0.71386719 0.22167969 0.04980469 0.94238281 0.12011719 0.78027344 0.25292969 0.37988281 
0.44238281 0.18261719 0.67089844 0.02246094 0.21386719 0.72167969 0.54980469 0.44238281 0.62011719 0.28027344 0.75292969 0.87988281 
0.31738281 0.30761719 0.04589844 0.39746094 0.83886719 0.59667969 0.92480469 0.81738281 0.99511719 0.90527344 0.37792969 0.50488281 
0.81738281 0.80761719 0.54589844 0.89746094 0.33886719 0.09667969 0.42480469 0.31738281 0.49511719 0.40527344 0.87792969 0.00488281 
0.56738281 0.55761719 0.29589844 0.14746094 0.58886719 0.34667969 0.17480469 0.06738281 0.24511719 0.65527344 0.62792969 0.25488281 
0.06738281 0.05761719 0.79589844 0.64746094 0.08886719 0.84667969 0.67480469 0.56738281 0.74511719 0.15527344 0.12792969 0.75488281 
0.62988281 0.24511719 0.35839844 0.58496094 0.77636719 0.40917969 0.23730469 0.50488281 0.05761719 0.09277344 0.69042969 0.31738281 
0.12988281 0.74511719 0.85839844 0.08496094 0.27636719 0.90917969 0.73730469 0.00488281 0.55761719 0.59277344 0.19042969 0.81738281 
0.37988281 0.99511719 0.10839844 0.83496094 0.52636719 0.65917969 0.98730469 0.25488281 0.80761719 0.34277344 0.44042969 0.56738281 
0.87988281 0.49511719 0.60839844 0.33496094 0.02636719 0.15917969 0.48730469 0.75488281 0.30761719 0.84277344 0.94042969 0.06738281 
0.75488281 0.12011719 0.23339844 0.20996094 0.90136719 0.03417969 0.11230469 0.37988281 0.18261719 0.46777344 0.31542969 0.44238281 
0.25488281 0.62011719 0.73339844 0.70996094 0.40136719 0.53417969 0.61230469 0.87988281 0.68261719 0.96777344 0.81542969 0.94238281 
0.00488281 0.87011719 0.48339844 0.45996094 0.65136719 0.78417969 0.86230469 0.62988281 0.93261719 0.21777344 0.56542969 0.69238281 
0.50488281 0.37011719 0.98339844 0.95996094 0.15136719 0.28417969 0.36230469 0.12988281 0.43261719 0.71777344 0.06542969 0.19238281 
0.84863281 0.58886719 0.63964844 0.30371094 0.68261719 0.75292969 0.64355469 0.53613281 0.58886719 0.31152344 0.90917969 0.34863281 
0.34863281 0.08886719 0.13964844 0.80371094 0.18261719 0.25292969 0.14355469 0.03613281 0.08886719 0.81152344 0.40917969 0.84863281 
0.09863281 0.33886719 0.88964844 0.05371094 0.93261719 0.00292969 0.39355469 0.28613281 0.33886719 0.06152344 0.15917969 0.59863281 
0.59863281 0.83886719 0.38964844 0.55371094 0.43261719 0.50292969 0.89355469 0.78613281 0.83886719 0.56152344 0.65917969 0.09863281 
0.72363281 0.71386719 0.76464844 0.92871094 0.55761719 0.62792969 0.51855469 0.41113281 0.71386719 0.18652344 0.03417969 0.47363281 
0.22363281 0.21386719 0.26464844 0.42871094 0.05761719 0.12792969 0.01855469 0.91113281 0.21386719 0.68652344 0.53417969 0.97363281 
0.47363281 0.46386719 0.51464844 0.67871094 0.80761719 0.37792969 0.26855469 0.66113281 0.46386719 0.43652344 0.78417969 0.72363281 
0.97363281 0.96386719 0.01464844 0.17871094 0.30761719 0.87792969 0.76855469 0.16113281 0.96386719 0.93652344 0.28417969 0.22363281 
0.28613281 0.77636719 0.57714844 0.11621094 0.62011719 0.31542969 0.33105469 0.22363281 0.27636719 0.87402344 0.84667969 0.66113281 
0.78613281 0.27636719 0.07714844 0.61621094 0.12011719 0.81542969 0.83105469 0.72363281 0.77636719 0.37402344 0.34667969 0.16113281 
0.53613281 0.02636719 0.82714844 0.36621094 0.87011719 0.56542969 0.58105469 0.97363281 0.52636719 0.62402344 0.09667969 0.41113281 
0.03613281 0.52636719 0.32714844 0.86621094 0.37011719 0.06542969 0.08105469 0.47363281 0.02636719 0.12402344 0.59667969 0.91113281 
0.16113281 0.90136719 0.95214844 0.74121094 0.74511719 0.19042969 0.45605469 0.84863281 0.40136719 0.74902344 0.22167969 0.53613281 
